RBPname,GeneID,Essential Genes,Splicing regulation,Spliceosome,RNA modification,3-end processing,rRNA processing,Ribosome & basic translation,RNA stability & decay,microRNA processing,RNA localization,RNA export,Translation regulation,tRNA regulation,mitochondrial RNA regulation,Viral RNA regulation,snoRNA / snRNA / telomerase,P-body / stress granules,Exon Junction Complex,Novel RBP,Other,Nuclei,Cytoplasm
DAZAP1,ENSG00000071626,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
DDX1,ENSG00000079785,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
DDX19B,ENSG00000157349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
DDX20,ENSG00000064703,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DDX21,ENSG00000165732,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
DDX24,ENSG00000089737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
DDX27,ENSG00000124228,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DDX28,ENSG00000182810,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
DDX3X,ENSG00000215301,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
DDX3Y,ENSG00000067048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
