RBPname,GeneID,Essential Genes,Splicing regulation,Spliceosome,RNA modification,3-end processing,rRNA processing,Ribosome & basic translation,RNA stability & decay,microRNA processing,RNA localization,RNA export,Translation regulation,tRNA regulation,mitochondrial RNA regulation,Viral RNA regulation,snoRNA / snRNA / telomerase,P-body / stress granules,Exon Junction Complex,Novel RBP,Other,Nuclei,Cytoplasm
RECQL,ENSG00000004700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
RECQL5,ENSG00000108469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
RPL23A,ENSG00000198242,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RPLP0,ENSG00000089157,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RPS10,ENSG00000124614,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
RPS11,ENSG00000142534,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RPS19,ENSG00000105372,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
RPS2,ENSG00000140988,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
RPS24,ENSG00000138326,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RPS3,ENSG00000149273,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
RPS3A,ENSG00000145425,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RPS5,ENSG00000083845,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
RRP9,ENSG00000114767,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
RTF1,ENSG00000137815,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAFB2,ENSG00000130254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SART3,ENSG00000075856,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SBDS,ENSG00000126524,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SCAF4,ENSG00000156304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SERBP1,ENSG00000142864,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SF1,ENSG00000168066,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SF3A3,ENSG00000183431,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SF3B1,ENSG00000115524,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
SF3B4,ENSG00000143368,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SFPQ,ENSG00000116560,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLBP,ENSG00000163950,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SLC4A1AP,ENSG00000163798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
